Application,Application Version,Category,Primary Location,Line Number,Full Filename,Criticality,Filterset,Folder,Is Reviewed,Tagged,Primary Tag Auto Applied,Bug URL,Has Correlated Issues,Has Comments,Scan Status,Found Date,Removed Date,Is Removed,Is Suppressed,Is Hidden,Analysis Type,Analysis Category,Analyzer,Primary Rule ID,Instance ID,Impact,Likelihood,Severity,Confidence,Kingdom,Fortify Category,CWE,DISA CCI 2,FISMA,GDPR,MISRA C 2012,MISRA C++ 2008,NIST SP 800-53 Rev.4,OWASP Mobile 2014,OWASP Top 10 2004,OWASP Top 10 2007,OWASP Top 10 2010,OWASP Top 10 2013,OWASP Top 10 2017,PCI 1.1,PCI 1.2,PCI 2.0,PCI 3.0,PCI 3.1,PCI 3.2,PCI 3.2.1,PCI SSF 1.0,SANS Top 25 2009,SANS Top 25 2010,SANS Top 25 2011,STIG 3.1,STIG 3.10,STIG 3.4,STIG 3.5,STIG 3.6,STIG 3.7,STIG 3.9,STIG 4.1,STIG 4.2,STIG 4.3,STIG 4.4,STIG 4.5,STIG 4.6,STIG 4.7,STIG 4.8,STIG 4.9,WASC 2.00,WASC 24 + 2
wiecreated,v1,Insecure Transport,forgot-password.html,0,/forgot-password.html,High,Security Auditor View,High,false,,,,false,false,REMOVED,Mon Nov 11 15:23:16 UTC 2019,Fri Dec 13 16:16:18 UTC 2019,true,false,false,WebInspect,DYNAMIC,Pentest,Vulnerability,64c501b3-c392-1beb-6ee2-21ec1bb15d70,3.0,2.0,3.0,5.0,Security Features,Insecure Transport,CWE ID 311,"CCI-000068,CCI-001453,CCI-002418,CCI-002420,CCI-002421,CCI-002422,CCI-002890,CCI-003123",SC,Insufficient Data Protection,,,SC-8 Transmission Confidentiality and Integrity (P1),M3 Insufficient Transport Layer Protection,A10 Insecure Configuration Management,A9 Insecure Communications,A9 Insufficient Transport Layer Protection,A6 Sensitive Data Exposure,A3 Sensitive Data Exposure,"Requirement 4.1,Requirement 6.5.10","Requirement 4.1,Requirement 6.3.1.4,Requirement 6.5.9","Requirement 4.1,Requirement 6.5.4","Requirement 4.1,Requirement 6.5.4","Requirement 4.1,Requirement 6.5.4","Requirement 4.1,Requirement 6.5.4","Requirement 4.1,Requirement 6.5.4","Control Objective 6.2 - Sensitive Data Protection,Control Objective 7 - Use of Cryptography",Insecure Interaction - CWE ID 319,Porous Defenses - CWE ID 311,Porous Defenses - CWE ID 311,"APP3250.1 CAT I,APP3250.2 CAT I,APP3250.3 CAT II,APP3250.4 CAT II,APP3260.1 CAT II","APP3250.1 CAT I,APP3250.2 CAT I,APP3250.3 CAT II,APP3250.4 CAT II,APP3260 CAT II","APP3250.1 CAT I,APP3250.2 CAT I,APP3250.3 CAT II,APP3250.4 CAT II,APP3260 CAT II","APP3250.1 CAT I,APP3250.2 CAT I,APP3250.3 CAT II,APP3250.4 CAT II,APP3260 CAT II","APP3250.1 CAT I,APP3250.2 CAT I,APP3250.3 CAT II,APP3250.4 CAT II,APP3260 CAT II","APP3250.1 CAT I,APP3250.2 CAT I,APP3250.3 CAT II,APP3250.4 CAT II,APP3260 CAT II","APP3250.1 CAT I,APP3250.2 CAT I,APP3250.3 CAT II,APP3250.4 CAT II,APP3260 CAT II","APSC-DV-000160 CAT II,APSC-DV-000170 CAT II,APSC-DV-001940 CAT II,APSC-DV-001950 CAT II,APSC-DV-002440 CAT I,APSC-DV-002450 CAT II,APSC-DV-002460 CAT II,APSC-DV-002470 CAT II","APSC-DV-000160 CAT II,APSC-DV-000170 CAT II,APSC-DV-001940 CAT II,APSC-DV-001950 CAT II,APSC-DV-002440 CAT I,APSC-DV-002450 CAT II,APSC-DV-002460 CAT II,APSC-DV-002470 CAT II","APSC-DV-000160 CAT II,APSC-DV-000170 CAT II,APSC-DV-001940 CAT II,APSC-DV-001950 CAT II,APSC-DV-002440 CAT I,APSC-DV-002450 CAT II,APSC-DV-002460 CAT II,APSC-DV-002470 CAT II","APSC-DV-000160 CAT II,APSC-DV-000170 CAT II,APSC-DV-001940 CAT II,APSC-DV-001950 CAT II,APSC-DV-002440 CAT I,APSC-DV-002450 CAT II,APSC-DV-002460 CAT II,APSC-DV-002470 CAT II","APSC-DV-000160 CAT II,APSC-DV-000170 CAT II,APSC-DV-001940 CAT II,APSC-DV-001950 CAT II,APSC-DV-002440 CAT I,APSC-DV-002450 CAT II,APSC-DV-002460 CAT II,APSC-DV-002470 CAT II","APSC-DV-000160 CAT II,APSC-DV-000170 CAT II,APSC-DV-001940 CAT II,APSC-DV-001950 CAT II,APSC-DV-002440 CAT I,APSC-DV-002450 CAT II,APSC-DV-002460 CAT II,APSC-DV-002470 CAT II","APSC-DV-000160 CAT II,APSC-DV-000170 CAT II,APSC-DV-001940 CAT II,APSC-DV-001950 CAT II,APSC-DV-002440 CAT I,APSC-DV-002450 CAT II,APSC-DV-002460 CAT II,APSC-DV-002470 CAT II","APSC-DV-000160 CAT II,APSC-DV-000170 CAT II,APSC-DV-001940 CAT II,APSC-DV-001950 CAT II,APSC-DV-002440 CAT I,APSC-DV-002450 CAT II,APSC-DV-002460 CAT II,APSC-DV-002470 CAT II","APSC-DV-000160 CAT II,APSC-DV-000170 CAT II,APSC-DV-001940 CAT II,APSC-DV-001950 CAT II,APSC-DV-002440 CAT I,APSC-DV-002450 CAT II,APSC-DV-002460 CAT II,APSC-DV-002470 CAT II",Insufficient Transport Layer Protection (WASC-04),Information Leakage
wiecreated,v1,Cross-Site Scripting: Reflected,forgotten-password-send.html,0,/forgotten-password-send.html,Medium,Security Auditor View,Medium,false,,,,false,false,REMOVED,Mon Nov 11 15:23:16 UTC 2019,Fri Dec 13 16:16:18 UTC 2019,true,false,false,WebInspect,DYNAMIC,Pentest,Vulnerability,5dbd37f8-47a6-291b-c7cf-76ac031d81bc,2.0,3.0,2.0,5.0,Input Validation and Representation,Cross-Site Scripting: Reflected,"CWE ID 79,CWE ID 80","CCI-001310,CCI-002754",SI,Indirect Access to Sensitive Data,,,SI-10 Information Input Validation (P1),M7 Client Side Injection,A4 Cross Site Scripting,A1 Cross Site Scripting (XSS),A2 Cross-Site Scripting (XSS),A3 Cross-Site Scripting (XSS),A7 Cross-Site Scripting (XSS),Requirement 6.5.4,"Requirement 6.3.1.1,Requirement 6.5.1",Requirement 6.5.7,Requirement 6.5.7,Requirement 6.5.7,Requirement 6.5.7,Requirement 6.5.7,Control Objective 4.2 - Critical Asset Protection,Insecure Interaction - CWE ID 079,Insecure Interaction - CWE ID 079,Insecure Interaction - CWE ID 079,"APP3510 CAT I,APP3580 CAT I","APP3510 CAT I,APP3580 CAT I","APP3510 CAT I,APP3580 CAT I","APP3510 CAT I,APP3580 CAT I","APP3510 CAT I,APP3580 CAT I","APP3510 CAT I,APP3580 CAT I","APP3510 CAT I,APP3580 CAT I","APSC-DV-002490 CAT I,APSC-DV-002560 CAT I","APSC-DV-002490 CAT I,APSC-DV-002560 CAT I","APSC-DV-002490 CAT I,APSC-DV-002560 CAT I","APSC-DV-002490 CAT I,APSC-DV-002560 CAT I","APSC-DV-002490 CAT I,APSC-DV-002560 CAT I","APSC-DV-002490 CAT I,APSC-DV-002560 CAT I","APSC-DV-002490 CAT I,APSC-DV-002560 CAT I","APSC-DV-002490 CAT I,APSC-DV-002560 CAT I","APSC-DV-002490 CAT I,APSC-DV-002560 CAT I",Cross-Site Scripting (WASC-08),Cross-Site Scripting
wiecreated,v1,Dangerous File Inclusion: Remote,help.html,0,/help.html,High,Security Auditor View,High,false,,,,false,false,REMOVED,Mon Nov 11 15:23:16 UTC 2019,Fri Dec 13 16:16:18 UTC 2019,true,false,false,WebInspect,DYNAMIC,Pentest,Vulnerability,ab090aef-a1ce-9fec-2dff-68f2e4ccdf7c,3.0,2.0,3.0,5.0,Input Validation and Representation,Dangerous File Inclusion: Remote,"CWE ID 94,CWE ID 98,CWE ID 494","CCI-001167,CCI-002754",SI,Indirect Access to Sensitive Data,,,"SC-18 Mobile Code (P2),SI-10 Information Input Validation (P1)",M1 Weak Server Side Controls,A1 Unvalidated Input,A3 Malicious File Execution,A1 Injection,A1 Injection,A1 Injection,Requirement 6.5.1,"Requirement 6.3.1.1,Requirement 6.5.3",Requirement 6.5.8,Requirement 6.5.8,Requirement 6.5.8,Requirement 6.5.8,Requirement 6.5.8,"Control Objective 4.2 - Critical Asset Protection,Control Objective 5.4 - Authentication and Access Control",Risky Resource Management - CWE ID 094,Risky Resource Management - CWE ID 098,Risky Resource Management - CWE ID 494,APP3510 CAT I,"APP3510 CAT I,APP3600 CAT II","APP3510 CAT I,APP3600 CAT II","APP3510 CAT I,APP3600 CAT II","APP3510 CAT I,APP3600 CAT II","APP3510 CAT I,APP3600 CAT II","APP3510 CAT I,APP3600 CAT II","APSC-DV-002560 CAT I,APSC-DV-003300 CAT II","APSC-DV-002560 CAT I,APSC-DV-003300 CAT II","APSC-DV-002560 CAT I,APSC-DV-003300 CAT II","APSC-DV-002560 CAT I,APSC-DV-003300 CAT II","APSC-DV-002560 CAT I,APSC-DV-003300 CAT II","APSC-DV-002560 CAT I,APSC-DV-003300 CAT II","APSC-DV-002560 CAT I,APSC-DV-003300 CAT II","APSC-DV-002560 CAT I,APSC-DV-003300 CAT II","APSC-DV-002560 CAT I,APSC-DV-003300 CAT II",Remote File Inclusion (RFI) (WASC-05),
wiecreated,v1,Dangerous File Inclusion: Local,help.html,0,/help.html,High,Security Auditor View,High,false,,,,false,false,REMOVED,Mon Nov 11 15:23:16 UTC 2019,Fri Dec 13 16:16:18 UTC 2019,true,false,false,WebInspect,DYNAMIC,Pentest,Vulnerability,ae6633d7-5c94-d46d-430e-57e3856613ff,3.0,2.0,3.0,5.0,Input Validation and Representation,Dangerous File Inclusion: Local,"CWE ID 94,CWE ID 98","CCI-001167,CCI-002754",SI,Indirect Access to Sensitive Data,,,"SC-18 Mobile Code (P2),SI-10 Information Input Validation (P1)",M1 Weak Server Side Controls,A1 Unvalidated Input,A3 Malicious File Execution,A1 Injection,A1 Injection,A1 Injection,Requirement 6.5.1,"Requirement 6.3.1.1,Requirement 6.5.3",Requirement 6.5.8,Requirement 6.5.8,Requirement 6.5.8,Requirement 6.5.8,Requirement 6.5.8,"Control Objective 4.2 - Critical Asset Protection,Control Objective 5.4 - Authentication and Access Control",Risky Resource Management - CWE ID 094,Risky Resource Management - CWE ID 098,Risky Resource Management - CWE ID 829,APP3510 CAT I,"APP3510 CAT I,APP3600 CAT II","APP3510 CAT I,APP3600 CAT II","APP3510 CAT I,APP3600 CAT II","APP3510 CAT I,APP3600 CAT II","APP3510 CAT I,APP3600 CAT II","APP3510 CAT I,APP3600 CAT II","APSC-DV-002560 CAT I,APSC-DV-003300 CAT II","APSC-DV-002560 CAT I,APSC-DV-003300 CAT II","APSC-DV-002560 CAT I,APSC-DV-003300 CAT II","APSC-DV-002560 CAT I,APSC-DV-003300 CAT II","APSC-DV-002560 CAT I,APSC-DV-003300 CAT II","APSC-DV-002560 CAT I,APSC-DV-003300 CAT II","APSC-DV-002560 CAT I,APSC-DV-003300 CAT II","APSC-DV-002560 CAT I,APSC-DV-003300 CAT II","APSC-DV-002560 CAT I,APSC-DV-003300 CAT II",Path Traversal (WASC-33),
wiecreated,v1,Cross-Frame Scripting,index.html,0,/index.html,Medium,Security Auditor View,Medium,false,,,,false,false,REMOVED,Mon Nov 11 15:23:16 UTC 2019,Fri Dec 13 16:16:18 UTC 2019,true,false,false,WebInspect,DYNAMIC,Pentest,Vulnerability,cc38d3e3-a2d7-ff1f-a290-b4ee6ed0808b,2.0,3.0,2.0,5.0,Security Features,Cross-Frame Scripting,,"CCI-001310,CCI-001941,CCI-001942",SI,Indirect Access to Sensitive Data,,,SC-23 Session Authenticity (P1),,A10 Insecure Configuration Management,,,,,,,,Requirement 6.5.6,Requirement 6.5.6,Requirement 6.5.6,Requirement 6.5.6,Control Objective 4.2 - Critical Asset Protection,,,,,,,,,,,"APSC-DV-001620 CAT II,APSC-DV-001630 CAT II,APSC-DV-002500 CAT II","APSC-DV-001620 CAT II,APSC-DV-001630 CAT II,APSC-DV-002500 CAT II","APSC-DV-001620 CAT II,APSC-DV-001630 CAT II,APSC-DV-002500 CAT II","APSC-DV-001620 CAT II,APSC-DV-001630 CAT II,APSC-DV-002500 CAT II","APSC-DV-001620 CAT II,APSC-DV-001630 CAT II,APSC-DV-002500 CAT II","APSC-DV-001620 CAT II,APSC-DV-001630 CAT II,APSC-DV-002500 CAT II","APSC-DV-001620 CAT II,APSC-DV-001630 CAT II,APSC-DV-002500 CAT II","APSC-DV-001620 CAT II,APSC-DV-001630 CAT II,APSC-DV-002500 CAT II","APSC-DV-001620 CAT II,APSC-DV-001630 CAT II,APSC-DV-002500 CAT II",Server Misconfiguration (WASC-14),
wiecreated,v1,Privacy Violation: Autocomplete,index.html,0,/index.html,Low,Security Auditor View,Low,false,,,,false,false,REMOVED,Mon Nov 11 15:23:16 UTC 2019,Fri Dec 13 16:16:18 UTC 2019,true,false,false,WebInspect,DYNAMIC,Pentest,Best Practices,96f7fbb4-e1a8-b767-8d57-ed8d7d59184d,0.5,0.5,0.0,5.0,Security Features,Privacy Violation: Autocomplete,CWE ID 525,"CCI-000196,CCI-002361",,Privacy Violation,,,AC-4 Information Flow Enforcement (P1),M4 Unintended Data Leakage,,A6 Information Leakage and Improper Error Handling,,A6 Sensitive Data Exposure,A3 Sensitive Data Exposure,Requirement 3.2,Requirement 3.2,Requirement 3.2,Requirement 3.2,Requirement 3.2,Requirement 3.2,Requirement 3.2,"Control Objective 3.3 - Sensitive Data Retention,Control Objective 6.1 - Sensitive Data Protection",,,,"APP3210.1 CAT II,APP3310 CAT I,APP3340 CAT I","APP3210.1 CAT II,APP3310 CAT I,APP3340 CAT I","APP3210.1 CAT II,APP3310 CAT I,APP3340 CAT I","APP3210.1 CAT II,APP3310 CAT I,APP3340 CAT I","APP3210.1 CAT II,APP3310 CAT I,APP3340 CAT I","APP3210.1 CAT II,APP3310 CAT I,APP3340 CAT I","APP3210.1 CAT II,APP3310 CAT I,APP3340 CAT I","APSC-DV-000060 CAT II,APSC-DV-001740 CAT I","APSC-DV-000060 CAT II,APSC-DV-001740 CAT I","APSC-DV-000060 CAT II,APSC-DV-001740 CAT I","APSC-DV-000060 CAT II,APSC-DV-001740 CAT I","APSC-DV-000060 CAT II,APSC-DV-001740 CAT I","APSC-DV-000060 CAT II,APSC-DV-001740 CAT I","APSC-DV-000060 CAT II,APSC-DV-001740 CAT I","APSC-DV-000060 CAT II,APSC-DV-001740 CAT I","APSC-DV-000060 CAT II,APSC-DV-001740 CAT I",Information Leakage (WASC-13),Information Leakage
wiecreated,v1,Web Server Misconfiguration: Unprotected File,index.html.old,0,/index.html.old,High,Security Auditor View,High,false,,,,false,false,REMOVED,Mon Nov 11 15:23:16 UTC 2019,Fri Dec 13 16:16:18 UTC 2019,true,false,false,WebInspect,DYNAMIC,Pentest,Vulnerability,94788a39-784e-ca28-2328-70ff66274987,3.0,2.0,3.0,5.0,Environment,Web Server Misconfiguration: Unprotected File,CWE ID 863,"CCI-000213,CCI-002165",AC,Access Violation,,,AC-3 Access Enforcement (P1),M5 Poor Authorization and Authentication,A2 Broken Access Control,A10 Failure to Restrict URL Access,A8 Failure to Restrict URL Access,A5 Security Misconfiguration,A6 Security Misconfiguration,Requirement 6.5.2,Requirement 6.5.10,Requirement 6.5.8,Requirement 6.5.8,Requirement 6.5.8,Requirement 6.5.8,Requirement 6.5.8,Control Objective 5.4 - Authentication and Access Control,,Porous Defenses - CWE ID 285,Porous Defenses - CWE ID 863,,,APP3480.1 CAT I,APP3480.1 CAT I,APP3480.1 CAT I,APP3480.1 CAT I,,"APSC-DV-000460 CAT I,APSC-DV-000470 CAT II","APSC-DV-000460 CAT I,APSC-DV-000470 CAT II","APSC-DV-000460 CAT I,APSC-DV-000470 CAT II","APSC-DV-000460 CAT I,APSC-DV-000470 CAT II","APSC-DV-000460 CAT I,APSC-DV-000470 CAT II","APSC-DV-000460 CAT I,APSC-DV-000470 CAT II","APSC-DV-000460 CAT I,APSC-DV-000470 CAT II","APSC-DV-000460 CAT I,APSC-DV-000470 CAT II","APSC-DV-000460 CAT I,APSC-DV-000470 CAT II",Server Misconfiguration (WASC-14),Insufficient Authorization
wiecreated,v1,Web Server Misconfiguration: Unprotected File,index.old,0,/index.old,High,Security Auditor View,High,false,,,,false,false,REMOVED,Mon Nov 11 15:23:16 UTC 2019,Fri Dec 13 16:16:18 UTC 2019,true,false,false,WebInspect,DYNAMIC,Pentest,Vulnerability,20904197-fe16-70d4-1189-612e36dd7cc1,3.0,2.0,3.0,5.0,Environment,Web Server Misconfiguration: Unprotected File,CWE ID 863,"CCI-000213,CCI-002165",AC,Access Violation,,,AC-3 Access Enforcement (P1),M5 Poor Authorization and Authentication,A2 Broken Access Control,A10 Failure to Restrict URL Access,A8 Failure to Restrict URL Access,A5 Security Misconfiguration,A6 Security Misconfiguration,Requirement 6.5.2,Requirement 6.5.10,Requirement 6.5.8,Requirement 6.5.8,Requirement 6.5.8,Requirement 6.5.8,Requirement 6.5.8,Control Objective 5.4 - Authentication and Access Control,,Porous Defenses - CWE ID 285,Porous Defenses - CWE ID 863,,,APP3480.1 CAT I,APP3480.1 CAT I,APP3480.1 CAT I,APP3480.1 CAT I,,"APSC-DV-000460 CAT I,APSC-DV-000470 CAT II","APSC-DV-000460 CAT I,APSC-DV-000470 CAT II","APSC-DV-000460 CAT I,APSC-DV-000470 CAT II","APSC-DV-000460 CAT I,APSC-DV-000470 CAT II","APSC-DV-000460 CAT I,APSC-DV-000470 CAT II","APSC-DV-000460 CAT I,APSC-DV-000470 CAT II","APSC-DV-000460 CAT I,APSC-DV-000470 CAT II","APSC-DV-000460 CAT I,APSC-DV-000470 CAT II","APSC-DV-000460 CAT I,APSC-DV-000470 CAT II",Server Misconfiguration (WASC-14),Insufficient Authorization
wiecreated,v1,Often Misused: Login,login.html,0,/login.html,High,Security Auditor View,High,false,,,,false,false,UPDATED,Mon Nov 11 15:23:16 UTC 2019,,false,false,false,WebInspect,DYNAMIC,Pentest,Vulnerability,5c49b53d-7858-dac2-1edc-399320723554,3.0,2.0,3.0,5.0,API Abuse,Often Misused: Login,CWE ID 311,,SC,Access Violation,,,SC-8 Transmission Confidentiality and Integrity (P1),M3 Insufficient Transport Layer Protection,A10 Insecure Configuration Management,A9 Insecure Communications,A9 Insufficient Transport Layer Protection,A5 Security Misconfiguration,A6 Security Misconfiguration,Requirement 8.4,"Requirement 4.1,Requirement 6.3.1.4,Requirement 6.5.9,Requirement 8.4","Requirement 4.1,Requirement 6.5.4,Requirement 8.4",Requirement 6.5.4,Requirement 6.5.4,Requirement 6.5.4,Requirement 6.5.4,Control Objective 6.2 - Sensitive Data Protection,,,Porous Defenses - CWE ID 311,APP3330 CAT I,APP3330 CAT I,APP3330 CAT I,APP3330 CAT I,APP3330 CAT I,APP3330 CAT I,APP3330 CAT I,,,,,,,,,,,
wiecreated,v1,Insecure Transport,login.html,0,/login.html,High,Security Auditor View,High,false,,,,false,false,UPDATED,Mon Nov 11 15:23:16 UTC 2019,,false,false,false,WebInspect,DYNAMIC,Pentest,Vulnerability,5fa1ed94-436a-2140-8a77-d0d3795059a3,3.0,2.0,3.0,5.0,Security Features,Insecure Transport,CWE ID 311,"CCI-000068,CCI-001453,CCI-002418,CCI-002420,CCI-002421,CCI-002422,CCI-002890,CCI-003123",SC,Insufficient Data Protection,,,SC-8 Transmission Confidentiality and Integrity (P1),M3 Insufficient Transport Layer Protection,A10 Insecure Configuration Management,A9 Insecure Communications,A9 Insufficient Transport Layer Protection,A6 Sensitive Data Exposure,A3 Sensitive Data Exposure,"Requirement 4.1,Requirement 6.5.10","Requirement 4.1,Requirement 6.3.1.4,Requirement 6.5.9","Requirement 4.1,Requirement 6.5.4","Requirement 4.1,Requirement 6.5.4","Requirement 4.1,Requirement 6.5.4","Requirement 4.1,Requirement 6.5.4","Requirement 4.1,Requirement 6.5.4","Control Objective 6.2 - Sensitive Data Protection,Control Objective 7 - Use of Cryptography",Insecure Interaction - CWE ID 319,Porous Defenses - CWE ID 311,Porous Defenses - CWE ID 311,"APP3250.1 CAT I,APP3250.2 CAT I,APP3250.3 CAT II,APP3250.4 CAT II,APP3260.1 CAT II","APP3250.1 CAT I,APP3250.2 CAT I,APP3250.3 CAT II,APP3250.4 CAT II,APP3260 CAT II","APP3250.1 CAT I,APP3250.2 CAT I,APP3250.3 CAT II,APP3250.4 CAT II,APP3260 CAT II","APP3250.1 CAT I,APP3250.2 CAT I,APP3250.3 CAT II,APP3250.4 CAT II,APP3260 CAT II","APP3250.1 CAT I,APP3250.2 CAT I,APP3250.3 CAT II,APP3250.4 CAT II,APP3260 CAT II","APP3250.1 CAT I,APP3250.2 CAT I,APP3250.3 CAT II,APP3250.4 CAT II,APP3260 CAT II","APP3250.1 CAT I,APP3250.2 CAT I,APP3250.3 CAT II,APP3250.4 CAT II,APP3260 CAT II","APSC-DV-000160 CAT II,APSC-DV-000170 CAT II,APSC-DV-001940 CAT II,APSC-DV-001950 CAT II,APSC-DV-002440 CAT I,APSC-DV-002450 CAT II,APSC-DV-002460 CAT II,APSC-DV-002470 CAT II","APSC-DV-000160 CAT II,APSC-DV-000170 CAT II,APSC-DV-001940 CAT II,APSC-DV-001950 CAT II,APSC-DV-002440 CAT I,APSC-DV-002450 CAT II,APSC-DV-002460 CAT II,APSC-DV-002470 CAT II","APSC-DV-000160 CAT II,APSC-DV-000170 CAT II,APSC-DV-001940 CAT II,APSC-DV-001950 CAT II,APSC-DV-002440 CAT I,APSC-DV-002450 CAT II,APSC-DV-002460 CAT II,APSC-DV-002470 CAT II","APSC-DV-000160 CAT II,APSC-DV-000170 CAT II,APSC-DV-001940 CAT II,APSC-DV-001950 CAT II,APSC-DV-002440 CAT I,APSC-DV-002450 CAT II,APSC-DV-002460 CAT II,APSC-DV-002470 CAT II","APSC-DV-000160 CAT II,APSC-DV-000170 CAT II,APSC-DV-001940 CAT II,APSC-DV-001950 CAT II,APSC-DV-002440 CAT I,APSC-DV-002450 CAT II,APSC-DV-002460 CAT II,APSC-DV-002470 CAT II","APSC-DV-000160 CAT II,APSC-DV-000170 CAT II,APSC-DV-001940 CAT II,APSC-DV-001950 CAT II,APSC-DV-002440 CAT I,APSC-DV-002450 CAT II,APSC-DV-002460 CAT II,APSC-DV-002470 CAT II","APSC-DV-000160 CAT II,APSC-DV-000170 CAT II,APSC-DV-001940 CAT II,APSC-DV-001950 CAT II,APSC-DV-002440 CAT I,APSC-DV-002450 CAT II,APSC-DV-002460 CAT II,APSC-DV-002470 CAT II","APSC-DV-000160 CAT II,APSC-DV-000170 CAT II,APSC-DV-001940 CAT II,APSC-DV-001950 CAT II,APSC-DV-002440 CAT I,APSC-DV-002450 CAT II,APSC-DV-002460 CAT II,APSC-DV-002470 CAT II","APSC-DV-000160 CAT II,APSC-DV-000170 CAT II,APSC-DV-001940 CAT II,APSC-DV-001950 CAT II,APSC-DV-002440 CAT I,APSC-DV-002450 CAT II,APSC-DV-002460 CAT II,APSC-DV-002470 CAT II",Insufficient Transport Layer Protection (WASC-04),Information Leakage
wiecreated,v1,Cross-Frame Scripting,login.html,0,/login.html,High,Security Auditor View,High,false,,,,false,false,REMOVED,Mon Nov 11 15:23:16 UTC 2019,Fri Dec 13 16:16:18 UTC 2019,true,false,false,WebInspect,DYNAMIC,Pentest,Vulnerability,b817e20f-2d3f-7a86-ac64-3b5ba6e2102e,3.0,2.0,3.0,5.0,Security Features,Cross-Frame Scripting,,"CCI-001310,CCI-001941,CCI-001942",SI,Indirect Access to Sensitive Data,,,SC-23 Session Authenticity (P1),,A10 Insecure Configuration Management,,,,,,,,Requirement 6.5.6,Requirement 6.5.6,Requirement 6.5.6,Requirement 6.5.6,Control Objective 4.2 - Critical Asset Protection,,,,,,,,,,,"APSC-DV-001620 CAT II,APSC-DV-001630 CAT II,APSC-DV-002500 CAT II","APSC-DV-001620 CAT II,APSC-DV-001630 CAT II,APSC-DV-002500 CAT II","APSC-DV-001620 CAT II,APSC-DV-001630 CAT II,APSC-DV-002500 CAT II","APSC-DV-001620 CAT II,APSC-DV-001630 CAT II,APSC-DV-002500 CAT II","APSC-DV-001620 CAT II,APSC-DV-001630 CAT II,APSC-DV-002500 CAT II","APSC-DV-001620 CAT II,APSC-DV-001630 CAT II,APSC-DV-002500 CAT II","APSC-DV-001620 CAT II,APSC-DV-001630 CAT II,APSC-DV-002500 CAT II","APSC-DV-001620 CAT II,APSC-DV-001630 CAT II,APSC-DV-002500 CAT II","APSC-DV-001620 CAT II,APSC-DV-001630 CAT II,APSC-DV-002500 CAT II",Server Misconfiguration (WASC-14),
wiecreated,v1,HTML5: Overly Permissive CORS Policy,login.html,0,/login.html,Low,Security Auditor View,Low,false,,,,false,false,NEW,Fri Dec 13 18:28:21 UTC 2019,,false,false,false,WebInspect,DYNAMIC,Pentest,Vulnerability,0cbf39e4-8ca8-aedc-992a-5c711404c1b6,1.0,1.0,1.0,5.0,Encapsulation,HTML5: Overly Permissive CORS Policy,,"CCI-001368,CCI-001414",,Access Violation,,,AC-4 Information Flow Enforcement (P1),M5 Poor Authorization and Authentication,,,,A5 Security Misconfiguration,A6 Security Misconfiguration,Requirement 6.5.10,,Requirement 6.5.8,Requirement 6.5.8,Requirement 6.5.8,Requirement 6.5.8,Requirement 6.5.8,Control Objective 5.4 - Authentication and Access Control,,,,,,,,,,,"APSC-DV-000480 CAT II,APSC-DV-000490 CAT II","APSC-DV-000480 CAT II,APSC-DV-000490 CAT II","APSC-DV-000480 CAT II,APSC-DV-000490 CAT II","APSC-DV-000480 CAT II,APSC-DV-000490 CAT II","APSC-DV-000480 CAT II,APSC-DV-000490 CAT II","APSC-DV-000480 CAT II,APSC-DV-000490 CAT II","APSC-DV-000480 CAT II,APSC-DV-000490 CAT II","APSC-DV-000480 CAT II,APSC-DV-000490 CAT II","APSC-DV-000480 CAT II,APSC-DV-000490 CAT II",Application Misconfiguration (WASC-15),
wiecreated,v1,Cross-Frame Scripting,login.html,0,/login.html,High,Security Auditor View,High,true,Suspicious,false,,false,false,NEW,Fri Dec 13 18:28:21 UTC 2019,,false,false,false,WebInspect,DYNAMIC,Pentest,Vulnerability,7bfca877-e9b7-f63b-178e-4509275eab62,3.0,2.0,3.0,5.0,Security Features,Cross-Frame Scripting,,"CCI-001310,CCI-001941,CCI-001942",SI,Indirect Access to Sensitive Data,,,SC-23 Session Authenticity (P1),,A10 Insecure Configuration Management,,,,,,,,Requirement 6.5.6,Requirement 6.5.6,Requirement 6.5.6,Requirement 6.5.6,Control Objective 4.2 - Critical Asset Protection,,,,,,,,,,,"APSC-DV-001620 CAT II,APSC-DV-001630 CAT II,APSC-DV-002500 CAT II","APSC-DV-001620 CAT II,APSC-DV-001630 CAT II,APSC-DV-002500 CAT II","APSC-DV-001620 CAT II,APSC-DV-001630 CAT II,APSC-DV-002500 CAT II","APSC-DV-001620 CAT II,APSC-DV-001630 CAT II,APSC-DV-002500 CAT II","APSC-DV-001620 CAT II,APSC-DV-001630 CAT II,APSC-DV-002500 CAT II","APSC-DV-001620 CAT II,APSC-DV-001630 CAT II,APSC-DV-002500 CAT II","APSC-DV-001620 CAT II,APSC-DV-001630 CAT II,APSC-DV-002500 CAT II","APSC-DV-001620 CAT II,APSC-DV-001630 CAT II,APSC-DV-002500 CAT II","APSC-DV-001620 CAT II,APSC-DV-001630 CAT II,APSC-DV-002500 CAT II",Server Misconfiguration (WASC-14),
